N=10 K=9,,,,,
Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,Sequence
113,89,12,9.41666666666667,7.41666666666667,"[ 2  3  5  6  9  2  1  1  3  6 10  7  2  8  5  5  9  3  6  9  4  4  8  5
  5  9  7  1  8  6  7  3  1  9  6 10  5  5 10  8  6  3  8  8  7  5  5  3
  2  7  5  9  8  1  1  6 10  8  2  5  6  5  7  4  1  2  1  9  2  6  5  9
  5 10  7  3  5  1 10  7  5  8  2  7  7  2  8  9  4  9  1  3  7  6  4  7
  8  2  9  6  5  1  5  4  3  7  8  6  1  4  2  7  7  9  4  8  5  5  9 10
  4  8  6  4  4  2  6  9  4  4  8  5  9  4 10  1  2  4  8 10  5  6  5  1
  2  9  2  1 10  8  1  9  9  2  3  7  1  5  2  4 10  8  5  3  8  9  2 10
  7 10  9  3  6  2  2  6  9  3  4  7  8  5  2  1  4  2  5  1  7  9  9  4
  5 10  7  8  7  4  1  3]"
106,86,12,8.83333333333333,7.16666666666667,"[ 5  6  4  3  7  5  7  9  1  1  6  9  7  3  6  3 10 10  8  9  7  8  2  3
  1  3  1  2  6  3  2  9  3  8  9  2 10  6  3  7  2  7  2 10  3  2  7  1
  6  3  5  2  5  8  9  8  2  5  6  9  3  1  7  9  1  7  3  3  8  8  5 10
  6  8  2  9  9  9  6  9 10  4  1  4  6  6  8 10  3  8  4  3  1  3  2  8
  4 10  3  8  1  7  8  1  7 10  7  6  5  1  2  8  3  6  4  9 10  5 10  5
  6  4  6  8  1  3  7  9  9  2 10  4  3  6  6  5  6  4  7  3  8  5  7  6
  2  6  1  1  8  3  9  7  8  6  6  1  3  9  5  3  4  4  2  3  3  4  7  3
  8  4  1  2  7  8  6  6  7  3  6  7  4  5  6 10 10  5  1  8  1  3  2 10
  5  3  7  8  7  6  3  9]"
101,85,13,7.76923076923077,6.53846153846154,"[ 7  1  9  2  4  4  6  9  1  7  2  8  2  9 10  8 10  9  3  6  1  2  5  3
  1  1  1  6  5  2  9  6  1  1  4  1  8  3  9  8  4  3  6  9  7  7  9  1
  7  2  2  9  6  4  9  6  6 10  7  7  5  2  2  5  7  1  9  2  3  2  3  1
  2 10  3  9  2  4  9  9  2  3  5  7  7  8  9  8  1  9  7  6  7  3  1  4
 10  2  5  8  9  1  1  7  3  5  9  9  7  9  3  4  5  4  8  6  1  4 10  8
  8  5  4  1 10  5  5  2  4  8 10  2  1  2  5  3  2  2  4  8  8  9  6  2
  1  3  3  1 10  6  7  5  8  7  5  1 10  5  3  1  6  7  3  9  9  4 10  1
  6  3  8  5  3 10  6  2  3  6  2  6  3  1  8  1  6 10  6  8  8  1  8  1
  5  7  5  8  2  6  4 10]"
123,95,12,10.25,7.91666666666667,"[ 4 10  8  4  2  3  4  5 10  9  3  8  3  2  1  5  4  9  6  5  9  8  8 10
  9  8  7  7 10 10 10  2  7  9  2  1  3  3  3  1  2  7  4  2  2  7  1  3
  8  1  8  4  1  9 10 10  1  2  6  1 10  1  9  8  9  6  8  8  3  4  9  1
  4  5  5 10  7  1  1 10 10  4  2  3  8  5  6  3  5 10  9  2  7  4  5  1
  5  4  1  1  4  6  1  7  9  9  3  3  3  6  7 10  4  4  1  8  1  4  3  4
  3  6  6  2  3  4  4  1  4  9  8  4  9  6  2  4  9  8  2 10  4  2  7 10
  1  4  9  2  2  5  9  2  7  4  6  5  6  5  9  7  2 10  1  6  2  6  4  3
  2  4  9  4  3  4  2  7  7  9  8  6  5  9  7  9  6  9  6  1  6  6 10  2
  9  6  2  1 10  6  6  7]"
107,89,10,10.7,8.9,"[ 3  5  8 10  9  7  8  7  6  6  2  4  1  5  7  5  7  4  5 10 10  4  1  4
  6  1  2  7  2  9 10  4  3  9  8  9  7  5  4  5  9  4  5 10  7  7  4 10
  5  4  6  9  6  6  3  1  9  7 10 10  9  4  2  3  2  6  4  6  8  6  1  2
  4  5  2  4  3  8  7  5  9  6  3  5  9  5  2  3  7  2 10 10  6  7  7  3
  9 10  8 10  5 10  2 10  5  4  9  4  8  6  6  6  7  3  8  8  2  6  1  7
  4 10  9  7  6  3  5  7  3  2  9  2  8  7  4 10  2  8  1 10  6  1  7  5
  5  4  4  4  6  4 10  2  1  7  4  3  6  5  5 10  9  4  6  3 10  4  9  5
 10  3  8  5  8  9  9  4  7  7  9  3  5  9  7  8  4  9  4  8  7  5  3  6
 10  4  5  3  5  4  4  4]"
111,114,10,11.1,11.4,"[ 3  4  2  2  6  1  2  4  3  6  8  1  8  7  8  3  7  9  5  5  1  2 10 10
 10  9  2  4  4  1  1  2  3  3  2  1  4  4  7  4  6  9  1  9  1  1  5  1
  6  5  2 10  8  5  6  2  5  4  4  1  7  5  2  1  3  8  7 10  9 10  8 10
  4  2  8  2  2  7  3 10  2 10  4  7  1  5  4 10  8  5  6  9  8  3  6  6
  1  6  3  9  9  1  2  9  8  7  1  9  8  3  8  7  1  9  3  5  2  5  9  5
  7  4  3  9  2  6  5  4  9  5  7 10  2  6  9  4  1  3 10  4  6  7  4  3
  7  1  5  6  3  7  3  2  9  6  6  9  6  5  2  8  4  5  2  2  8  2  6  4
  9  5  2  1  8  7  1 10  9 10  4  7  1  3  8  2  3  3  9  8  8  6  6  9
  7 10  9  1  6  5  6  5]"
,,,,,
N=20 and K=19,,,,,
1,1,1,1,1,[18  1 14  2  5  1  7  2  7 16]
1,1,1,1,1,[ 2  3  4  7 13 10  5  6 19 14]
1,1,1,1,1,[19  6  5  5 18 11 18  1 17  1]
1,1,1,1,1,[ 8  1  9 14 17 19  9 20 15  9]
1,1,1,1,1,[11 20  5 18  9 20 13  9  8  6]
1,1,1,1,1,[14 10 17 18  8  7 17 18  8 16]
1,1,1,1,1,[12 19  7  1  3  3 10 15 15  7]
2,2,1,2,2,[ 4  6  1  8 16 10 20  3  7  1]
1,1,1,1,1,[ 1 11 12  6  9  4 10  5  7 12]
2,2,1,2,2,[ 2 13 12 20 12  9  1  6  8  5]
3,3,1,3,3,[ 7  1  4 18 16 13  5  9 19  7 20  8  3  7 15 20  1 10 15 20]
1,1,1,1,1,[11  1 12  4 20 16 10  9 10  8  2  4 16 18  6  7 14  4 12  2]
4,4,1,4,4,[20  9  8  8  6  6 11  1  8 17 16 10  2  9  3 18 13 15  8  7]
1,1,1,1,1,[13 14  5  8  7 15 20 13  5  2  7 20 10  8  8  3  7 16 17  5]
1,1,1,1,1,[ 3  5  8 15  9  6  8 11 10 17 14  4 10  6  7  5  6 10 14 19]
3,3,1,3,3,[20 14  2 11 11 10  7  3 13  9 19 14 13 19  7  9 20 10 11 15]
7,7,2,3.5,3.5,[20 19 11  7  1 19  2  6  7 14 19 19  1  6  8  2 20  4  7 16]
1,1,1,1,1,[18 12 10 10 14 18 11  6 19 16 18 19 14 11 14 12 16 13 15 10]
1,1,1,1,1,[10  4 14  5 14 13  9 17 11 16  8  1 20  3  8 12 17  6 20  8]
5,7,2,2.5,3.5,[20  1  7  1  6 12 17 14 19 10  8 14  1 11  2 20 12 16 20 11]
2,2,1,2,2,"[15 14 13 16  5 16  7 12  7 13  1  6 15  1 10  8  2 12 14 19 15 10 19  8
  8 14 19 13  5  3  3 19  6 14 20  3  4  2  4 13 10 16 11  5  5 16 19  7
  3 15]"
6,5,2,3,2.5,"[19 16  1  5  3 13 10 13 17 20  1 17  7  5  4 15  5 15  4 10  7  1  6  3
 19  4 13  3 15 12  4  9 20 10 15  1 20 19  4 11  5  6  3 15 12 12 14  8
 10 11]"
6,6,2,3,3,"[16  7 13 14 10  1 10 10 10 11  2 17  4 12  6  3  2 19 16  7  5 12  3  8
  2 16 17  9 20  1 18 17  3 19  8 17 18  5  5 17 13  8  6 11  7  5 14 16
  3 13]"
8,8,3,2.66666666666667,2.66666666666667,"[20 16  5  5 14  8 18  8 14  5  9 12  4  2  1  2  4 14 11  3 12 15 19 17
 10 16 14 16 18 16 11  8  8 11  2 17  5 20  3  2 10 15  5  2  9 17  3  8
  5  8]"
10,10,2,5,5,"[ 2  3 15  9 11 17 15  5 10 18 10  2 20 20  2 17 20  7  3  1 12 20 10 15
  9  7 17  6  8 19 20  7  2 19 17  5 10  3  1 14 20 11 16  7 17  1  1 10
 12 10]"
7,10,2,3.5,5,"[ 6 17  6 19  9 20  2 14 15 15 16 12  8 18 14 19 15 16 20  6  3 19 15  1
  4 20  4  9  8 15 20  5  4  4 12 15 12 15 13  8  2 14  7 10  9 16  7  9
 17 16]"
5,5,2,2.5,2.5,"[12 11 12 18 19 18  3  9 19  2  2 15 17 15 20 14 15 10  6  4 16  4  9 15
  3 20 18 19 13  7 17 16 14  2 14 16 18 16 10  2  1 16 13 11  8 11  3 20
  4  9]"
